Cell ID,Number of Frames Appeared
1,3
2,58
3,33
4,70
5,12
6,44
7,15
8,39
9,46
10,66
11,50
12,60
13,1
14,3
15,9
16,8
17,1
18,6
19,13
20,2
21,1
22,12
23,5
24,3
25,20
26,38
27,3
28,4
29,1
30,5
31,13
32,3
33,1
34,12
35,17
36,10
37,1
38,1
39,9
40,1
41,1
42,1
43,1
44,3
45,35
46,9
47,2
48,5
49,3
50,3
51,9
52,2
53,19
54,9
55,1
56,3
57,14
58,2
59,1
60,9
61,7
62,2
63,14
64,7
65,2
66,15
67,1
68,1
69,1
70,6
71,7
72,5
73,25
74,1
75,1
76,2
77,1
78,14
79,18
80,1
81,1
82,1
83,14
84,4
85,2
86,2
87,3
88,1
89,1
90,10
91,2
92,2
93,1
94,1
95,1
96,4
97,1
98,1
99,1
100,1
101,1
102,1
103,1
