lr,batch_size,hidden_sizes,epochs,mse,r2
0.001,16,"(128, 64, 32)",100,7.024850368499756,0.8449782133102417
0.001,16,"(128, 64, 32)",200,6.162513732910156,0.8640079498291016
0.001,16,"(64, 32, 16)",100,5.418890476226807,0.8804179430007935
0.001,16,"(64, 32, 16)",200,5.5156049728393555,0.878283679485321
0.001,32,"(128, 64, 32)",100,5.919795036315918,0.8693642020225525
0.001,32,"(128, 64, 32)",200,6.523953437805176,0.8560318350791931
0.001,32,"(64, 32, 16)",100,5.991652965545654,0.8677784204483032
0.001,32,"(64, 32, 16)",200,6.294000625610352,0.8611063361167908
0.0005,16,"(128, 64, 32)",100,5.823780536651611,0.8714829683303833
0.0005,16,"(128, 64, 32)",200,5.850682258605957,0.8708893060684204
0.0005,16,"(64, 32, 16)",100,6.342546463012695,0.8600350618362427
0.0005,16,"(64, 32, 16)",200,5.365805625915527,0.881589412689209
0.0005,32,"(128, 64, 32)",100,5.995027542114258,0.8677039742469788
0.0005,32,"(128, 64, 32)",200,4.652929306030273,0.8973208665847778
0.0005,32,"(64, 32, 16)",100,5.181667804718018,0.8856528997421265
0.0005,32,"(64, 32, 16)",200,5.57073450088501,0.8770670890808105
